Tipo_corte,Current_1,Voltage_1,Current_2,Current_3,Voltage_3,formattedTimestamp,stringPersonalizado
9.35,20.6,241.1,19.69,21.48,240.2,08/11/2023 15:47:10,1

9.56,20.6,241.1,19.69,21.48,240.2,08/11/2023 15:47:10,1

10.3,20.6,241.1,19.69,21.48,240.2,08/11/2023 15:47:10,1

20.6,241.1,19.69,12.68,21.48,240.2,08/11/2023 15:47:10,1

20.6,241.1,19.69,21.48,240.2,8.74,08/11/2023 15:47:11,1

6.42,20.6,241.1,19.69,21.48,240.2,08/11/2023 15:47:11,1

20.6,241.1,19.69,10.6,21.48,240.2,08/11/2023 15:47:11,1

10.06,20.6,241.1,19.69,21.48,240.2,08/11/2023 15:47:11,1

alta,9.98,20.67,242,19.72,21.58,08/11/2023 15:47:16,1

11.02,240.8,20.67,242,19.72,21.58,08/11/2023 15:47:16,1

240.8,20.67,9.13,242,19.72,21.58,08/11/2023 15:47:16,1

240.8,20.67,242,19.72,21.58,13.19,08/11/2023 15:47:16,1

20.67,14.78,242,19.72,21.58,240.8,08/11/2023 15:47:16,1

13.9,20.67,242,19.72,21.58,240.8,08/11/2023 15:47:16,1

20.67,242,19.72,21.58,240.8,18.69,08/11/2023 15:47:16,1

20.67,242,19.72,10.03,21.58,240.8,08/11/2023 15:47:16,1

5.61,20.67,242,19.72,21.58,240.8,08/11/2023 15:47:16,1

20.09,20.52,242.1,19.72,21.58,240.8,08/11/2023 15:47:16,1

11.39,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:16,1

5.89,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

13.18,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

14.88,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

12.43,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

12.34,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

12.49,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

12.88,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

9.57,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

8.21,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

10.15,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

20.52,242.1,19.67,21.31,10.04,241.1,08/11/2023 15:47:17,1

20.52,242.1,19.67,21.31,241.1,16.85,08/11/2023 15:47:17,1

20.52,242.1,19.67,21.31,8.41,241.1,08/11/2023 15:47:17,1

19.29,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

20.52,242.1,18.51,19.67,21.31,241.1,08/11/2023 15:47:17,1

7.78,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

3.21,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

9.22,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

5.98,20.52,242.1,19.67,21.31,241.1,08/11/2023 15:47:17,1

10.76,20.52,242.1,19.62,21.31,241.1,08/11/2023 15:47:18,1

20.52,242.1,19.62,21.31,241.1,9.72,08/11/2023 15:47:18,1

20.52,14.34,242.1,19.62,21.31,241.1,08/11/2023 15:47:18,1

20.52,242.1,19.62,21.31,241.1,10.84,08/11/2023 15:47:18,1

10.12,20.52,242.3,19.62,21.31,241.1,08/11/2023 15:47:18,1

